franchise,franchiseID,clientName,clientID,serviceLocation,streetNo,locationStreet,state,city,zip,contactName
Cleveland Central,136,Joe Groskopf,44842,"341 Elm Street  JEFFERSON, OH 44047",341,Elm Street,OH,JEFFERSON,44047.0,Joe Groskopf
Cleveland Central,136,Perfectcutoff,44999,"29201 Anderson Rd  WICKLIFFE, OH 44092",29201,Anderson Rd,OH,WICKLIFFE,44092.0,Jason Smith
Cleveland Central,136,Dorchester Village Apartments,45002,"137 Chestnut Ln  RICHMOND HEIGHTS, OH 44143",137,Chestnut Ln,OH,RICHMOND HEIGHTS,44143.0,Diana Fury
Cleveland Central,136,Pursuitaero,45003,"23555 Euclid Ave Suite 106  CLEVELAND, OH 44117",23555,Euclid Ave Suite 106,OH,CLEVELAND,44117.0,Jeanne Betley
Cleveland Central,136,CHN Housing Partners,34038,"11215 Harvey Avenue  CLEVELAND, OH 44104",11215,Harvey Avenue,OH,CLEVELAND,44104.0,Christopher McNamara
Cleveland Central,136,Lerebourn,45022,"9005 Headlands Road  MENTOR, OH 44060",9005,Headlands Road,OH,MENTOR,44060.0,John Lateulere
Cleveland Central,136,Buckeyerm,45167,"9401 mentor ave unit 261  MENTOR, OH 44060",9401,mentor ave unit 261,OH,MENTOR,44060.0,Gary Labriola
Cleveland Central,136,Zionstructures,45169,"759 Lakeshore blvd  PAINESVILLE, OH 44077",759,Lakeshore blvd,OH,PAINESVILLE,44077.0,Nathanial Medley
Cleveland Central,136,Sonny's Chemistry,45171,"9050 Tyler Blvd  MENTOR, OH 44060",9050,Tyler Blvd,OH,MENTOR,44060.0,Dwayne Thornhill
Cleveland Central,136,Key State Homes,45730,"2137 Murray Hill  CLEVELAND, OH 44106",2137,Murray Hill,OH,CLEVELAND,44106.0,Andrew Gotlied
Cleveland Central,136,Cwp Technologies,25336,"3881 West 150th Street  CLEVELAND, OH 44111",3881,West 150th Street,OH,CLEVELAND,44111.0,Scott Ryals
Cleveland Central,136,Total Line Refrigeration,23140,"33540 Pin Oak Parkway  AVON LAKE, OH 44012",33540,Pin Oak Parkway,OH,AVON LAKE,44012.0,Rusty Ladina
Cleveland Central,136,Cleveland Rents Group,46074,"5401 Hamilton  CLEVELAND, OH 44120",5401,Hamilton,OH,CLEVELAND,44120.0,Christopher Boggs
Cleveland Central,136,JM Property Management,46246,"7509 Aetna Road  CLEVELAND, OH 44105",7509,Aetna Road,OH,CLEVELAND,44105.0,Sonia Gaiton
Cleveland Central,136,Apollo Welding & Fabricating,31241,"35600 Curtis Boulevard  EASTLAKE, OH 44095",35600,Curtis Boulevard,OH,EASTLAKE,44095.0,Tom Turkalj
Cleveland Central,136,Comprehensive Logistics,33396,"5933 Baumhart  LORAIN, OH 44053",5933,Baumhart,OH,LORAIN,44053.0,Shane Russell
Cleveland Central,136,48Forty Solutions - 306,46632,"400 Ryan Rd  SEVILLE, OH 44273",400,Ryan Rd,OH,SEVILLE,44273.0,Shawn Patterson
Cleveland Central,136,Lance Neuschaefer,46638,"955 Taylor St  ELYRIA, OH 44035",955,Taylor St,OH,ELYRIA,44035.0,Lance Neuschaefer
Cleveland Central,136,Torsion Group,46640,"13325 Darice Pkwy  STRONGSVILLE, OH 44149",13325,Darice Pkwy,OH,STRONGSVILLE,44149.0,Accounts Payable
Cleveland Central,136,"Infinium Wall Systems, Inc.",46636,"21000 Infinium Way  STRONGSVILLE, OH 44035",21000,Infinium Way,OH,STRONGSVILLE,44035.0,Jason Zamecnik
Cleveland Central,136,Amir Caldwell,47188,"1790 E 43rd St  CLEVELAND, OH 44103",1790,E 43rd St,OH,CLEVELAND,44103.0,Amir Caldwell
Cleveland Central,136,"Perry Fiberglass Products, Inc.",47232,"611 Lowell  ELYRIA, OH 44035",611,Lowell,OH,ELYRIA,44035.0,Chad Pulliam
Cleveland Central,136,AT&F,47391,"12314 Elmwood Ave  CLEVELAND, OH 44111",12314,Elmwood Ave,OH,CLEVELAND,44111.0,Marty Kleis
Cleveland Central,136,Autokiniton,47899,"1190 Jaycox Road Avon  AVON, OH 44011",1190,Jaycox Road Avon,OH,AVON,44011.0,Michael Summer
Cleveland Central,136,Enhanced Cleanouts,48043,"2288 E 55th st  CLEVELAND, OH 44103",2288,E 55th st,OH,CLEVELAND,44103.0,Jeremiah Ledford
Cleveland Central,136,Judsons Smart Living,48087,"1890 E. 107th St.  CLEVELAND, OH 44106",1890,E. 107th St.,OH,CLEVELAND,44106.0,Robert Valdivia
Cleveland Central,136,Robin Hood Homes,48238,"3790 Belmont  WOODMERE, OH 44122",3790,Belmont,OH,WOODMERE,44122.0,Jamal Morris
Cleveland Central,136,Trademark Global,34065,"7951 West Erie Avenue  LORAIN, OH 44053",,,,,,Mike Tharp
